Date,AGG,EFA,GLD,IWM,SPY,VNQ
2016-01-04,83.18817901611328,43.64146423339844,102.88999938964844,97.23490905761719,171.349365234375,53.944454193115234
2016-01-05,83.22662353515625,43.57353210449219,103.18000030517578,97.44703674316406,171.63914489746094,54.985416412353516
2016-01-06,83.54255676269531,42.856483459472656,104.66999816894531,95.9621353149414,169.47410583496094,54.834774017333984
2016-01-07,83.53488159179688,41.96583938598633,106.1500015258789,93.39889526367188,165.4081268310547,53.766414642333984
2016-01-08,83.71980285644531,41.46013641357422,105.68000030517578,91.79026794433594,163.59249877929688,53.047332763671875
2016-01-11,83.48088836669922,41.63373565673828,104.73999786376953,91.39250946044922,163.75448608398438,53.34866714477539
2016-01-12,83.66585540771484,41.829986572265625,104.20999908447266,91.66651153564453,165.07566833496094,52.99254608154297
2016-01-13,83.85845947265625,41.180877685546875,104.72000122070312,88.72323608398438,160.9586181640625,52.232383728027344
2016-01-14,83.82769012451172,41.70922088623047,103.0199966430664,89.95178985595703,163.6009979248047,52.10910415649414
2016-01-15,83.92778778076172,40.19965744018555,104.08000183105469,88.49339294433594,160.08914184570312,51.752994537353516
2016-01-19,83.84300994873047,40.56949996948242,103.9800033569336,87.3001937866211,160.30224609375,52.02693176269531
2016-01-20,83.91240692138672,39.64866638183594,105.37000274658203,87.66253662109375,158.24795532226562,50.6298713684082
2016-01-21,83.7968521118164,39.94302749633789,105.48999786376953,87.45926666259766,159.1344451904297,50.910648345947266
2016-01-22,83.85845947265625,41.1204948425293,105.0,89.59825134277344,162.39920043945312,52.3282585144043
2016-01-25,83.81222534179688,40.56949996948242,106.08000183105469,87.6095199584961,159.9442138671875,51.99953079223633
2016-01-26,83.92012023925781,41.294090270996094,107.29000091552734,89.35958099365234,162.1263885498047,53.08842086791992
2016-01-27,83.93550109863281,41.0299186706543,107.69000244140625,88.1310043334961,160.36190795898438,52.061161041259766
2016-01-28,84.00485229492188,41.15068817138672,106.54000091552734,88.11334228515625,161.197265625,51.6639518737793
2016-01-29,84.25138092041016,41.87527084350586,106.94999694824219,91.00360870361328,165.12684631347656,52.72545623779297
2016-02-01,84.14949035644531,41.829986572265625,108.05000305175781,90.58819580078125,165.06715393066406,52.814491271972656
2016-02-02,84.40424346923828,40.856319427490234,108.08999633789062,88.63484191894531,162.09228515625,52.335113525390625
2016-02-03,84.39654541015625,41.195960998535156,109.25,88.74974822998047,163.0640106201172,52.68437194824219
2016-02-04,84.48151397705078,41.24880599975586,110.56999969482422,89.09444427490234,163.31973266601562,52.711769104003906
2016-02-05,84.40424346923828,40.61478805541992,112.31999969482422,86.65495300292969,160.20851135253906,51.7119026184082
2016-02-08,84.72858428955078,39.86000061035156,113.83000183105469,85.23192596435547,158.0519561767578,50.2326545715332
2016-02-09,84.7208023071289,39.39959716796875,113.58000183105469,84.65740966796875,158.0605010986328,49.30813217163086
2016-02-10,84.92927551269531,39.35430145263672,114.45999908447266,84.70159149169922,157.924072265625,49.65056228637695
2016-02-11,84.98336029052734,38.780662536621094,119.05999755859375,83.78236389160156,155.86972045898438,48.94517517089844
2016-02-12,84.751708984375,39.459964752197266,118.36000061035156,85.37332916259766,159.08334350585938,49.506752014160156
2016-02-16,84.54327392578125,40.26003646850586,114.7699966430664,87.39739227294922,161.76837158203125,50.41756820678711
2016-02-17,84.49691772460938,40.954437255859375,115.4800033569336,88.76738739013672,164.41079711914062,50.849021911621094
2016-02-18,84.751708984375,40.74310302734375,118.29000091552734,88.34315490722656,163.7373809814453,51.362640380859375
2016-02-19,84.76715087890625,40.697811126708984,117.58000183105469,88.78507232666016,163.66067504882812,51.657127380371094
2016-02-22,84.79031372070312,41.158233642578125,115.48999786376953,89.77500915527344,166.03036499023438,52.15019226074219
2016-02-23,84.80573272705078,40.48646926879883,117.22000122070312,88.95301818847656,163.93348693847656,52.01323318481445
2016-02-24,84.8366470336914,40.34307098388672,117.61000061035156,89.81036376953125,164.68359375,51.95160675048828
2016-02-25,85.05280303955078,40.82612228393555,117.91999816894531,90.63236999511719,166.6781463623047,53.013099670410156
2016-02-26,84.89836883544922,40.720458984375,117.11000061035156,91.20687103271484,166.2946014404297,52.739158630371094
2016-02-29,84.99877166748047,40.47893524169922,118.63999938964844,90.8003158569336,164.9904327392578,52.53371047973633
2016-03-01,84.74427795410156,41.53561782836914,117.7699966430664,92.753662109375,168.86883544921875,54.012939453125
2016-03-02,84.65141296386719,41.82243728637695,118.68000030517578,93.708251953125,169.6275177001953,54.403297424316406
2016-03-03,84.75200653076172,42.23002243041992,120.7300033569336,94.68936157226562,170.29234313964844,54.690940856933594
2016-03-04,84.6204833984375,42.53947830200195,120.54000091552734,95.2108383178711,170.84640502929688,54.697792053222656
2016-03-07,84.59722137451172,42.48664474487305,121.13999938964844,96.2449722290039,170.98277282714844,54.84159851074219
2016-03-08,84.80611419677734,42.07151794433594,120.58000183105469,93.9203872680664,169.11605834960938,54.280052185058594
2016-03-09,84.76747131347656,42.23002243041992,119.58000183105469,94.3976821899414,169.95143127441406,54.58136749267578
2016-03-10,84.80611419677734,42.16209411621094,121.5,93.62872314453125,170.0878143310547,54.382755279541016
2016-03-11,84.65141296386719,43.264068603515625,119.41000366210938,95.6351089477539,172.83251953125,55.60176467895508
2016-03-14,84.69786071777344,43.173500061035156,117.87000274658203,95.38761901855469,172.6109161376953,55.608619689941406
2016-03-15,84.6204833984375,42.76591491699219,117.95999908447266,93.9027099609375,172.32962036132812,55.63600158691406
