Date,60/40,Custom Equal
2016-02-29,0.003052716247305609,0.013022098776921157
2016-03-31,0.04385835039509307,0.05303228463305988
2016-04-30,0.003384493285616408,0.012168498285711333
2016-05-31,0.010261324949485085,-3.363362527109091e-05
2016-06-30,0.009826036432944107,0.026239833267538242
2016-07-31,0.024060381613958046,0.03381855394981011
2016-08-31,-0.00014306450652017415,-0.00799657398180024
2016-09-30,0.00024131725632670076,0.0022078535022597707
2016-10-31,-0.013670832833117963,-0.030082733836878595
2016-11-30,0.011841291695012399,0.0006135209226786516
2016-12-31,0.013179472534165182,0.01795686000767064
2017-01-31,0.011588254552635836,0.01800110075020502
2017-02-28,0.026158484738294872,0.02398178909393341
2017-03-31,0.0005287992744428926,0.0007934343908015211
2017-04-30,0.009583715206267796,0.01240316692544204
2017-05-31,0.011215989309952955,0.004702246394152269
2017-06-30,0.003751996046366246,0.007278007382501506
2017-07-31,0.01366830323180528,0.015743225535659617
2017-08-31,0.005516012350255117,0.006446751763475182
2017-09-30,0.009803268093014638,0.011042126204007205
2017-10-31,0.01452993154575335,0.005071389453579803
2017-11-30,0.01774635189736764,0.015932264435441025
2017-12-31,0.009177313966447498,0.007661004171768829
2018-01-31,0.029315334346529817,0.01845079987126278
2018-02-28,-0.025851105638775216,-0.038461651602951855
2018-03-31,-0.013761868632648097,0.004717779677843185
2018-04-30,-0.000663047470180578,0.003243310125654152
2018-05-31,0.017232946509662204,0.01641003328260206
2018-06-30,0.0038607926095713726,0.0004920117242773921
2018-07-31,0.02211105906163233,0.010893607694470914
2018-08-31,0.021424019210515198,0.010453013410048782
2018-09-30,0.0010884760932560853,-0.007850007664420233
2018-10-31,-0.04403889938129955,-0.045802515502730866
2018-11-30,0.014215551874544551,0.016434784790178937
2018-12-31,-0.0449040415759067,-0.04525895114581019
2019-01-31,0.05168299888435759,0.06935921200144375
2019-02-28,0.018994098635297305,0.01821608288899288
2019-03-31,0.019350821130858266,0.008961640073605169
2019-04-30,0.02371002049545714,0.015643285391069812
2019-05-31,-0.03061949024975221,-0.025760400562839198
2019-06-30,0.04614607243492515,0.050851706857655235
2019-07-31,0.00979922086034759,0.0035673703679774587
2019-08-31,0.0010850369044324484,0.009853257674114916
2019-09-30,0.009226383084624956,0.008445155557024499
2019-10-31,0.014095371564694403,0.020354876613465356
2019-11-30,0.021580680169306945,0.00710867393203903
2019-12-31,0.01724612504328733,0.021776072273597402
2020-01-31,0.007873739175264726,0.002986119714904015
2020-02-29,-0.04116073253367014,-0.051009139200146214
2020-03-31,-0.07703006157895062,-0.11368663533137813
2020-04-30,0.08306637660566553,0.0838427198581338
2020-05-31,0.031277427080476046,0.03629743649046905
2020-06-30,0.013277020672533224,0.02422713984151248
2020-07-31,0.04066829149332558,0.044188008229472435
2020-08-31,0.038583379593684075,0.027455244745664978
2020-09-30,-0.02285540650973832,-0.026642484194445794
2020-10-31,-0.017193259099910718,-0.013200331201690266
2020-11-30,0.07009310459126686,0.08144060115407678
2020-12-31,0.02257207466688489,0.04533387666472222
2021-01-31,-0.009092676755905171,-0.0014798567316985011
2021-02-28,0.010610785069765427,0.011451947084313015
2021-03-31,0.02265431401286646,0.018850835348714103
2021-04-30,0.03467416532316658,0.03697739570310843
2021-05-31,0.004755147065669841,0.0218329873592219
2021-06-30,0.016767992542955225,-0.001080896606817188
2021-07-31,0.019113753412017376,0.0127574028922842
2021-08-31,0.01705468044553529,0.014172356967236639
2021-09-30,-0.031632263863062435,-0.034374196832246406
2021-10-31,0.042063199104651526,0.038418114401047435
2021-11-30,-0.0037375443097941827,-0.020331885029015655
2021-12-31,0.02631381380126023,0.03988867987793641
2022-01-31,-0.0396391716773963,-0.050904787473551885
2022-02-28,-0.022292879079367833,-0.006423204236279678
2022-03-31,0.011305560088509867,0.01693310110415182
2022-04-30,-0.06788504206817175,-0.05896538026954341
2022-05-31,0.004396656332582971,-0.007950141958283103
2022-06-30,-0.05568846332469273,-0.059911546329561784
2022-07-31,0.0654051163185279,0.0558446899682466
2022-08-31,-0.03665046719127667,-0.04032980467658757
2022-09-30,-0.07204756768317142,-0.08005262942962674
2022-10-31,0.0436514118787811,0.042707440008371976
2022-11-30,0.04858872931096192,0.06562884657391495
2022-12-31,-0.03805880961263417,-0.028439994855576467
2023-01-31,0.05105349018992369,0.07433865458338196
2023-02-28,-0.02574839651136136,-0.03535001743909179
2023-03-31,0.03281149851296798,0.017318969644416073
2023-04-30,0.011887128771879939,0.007485031533474498
2023-05-31,-0.001807458584655564,-0.018015925664321364
2023-06-30,0.03740695067906352,0.03676202680278271
2023-07-31,0.01957861707044297,0.02732236963176299
2023-08-31,-0.012276542110205457,-0.026549984157393194
2023-09-30,-0.03881902807218489,-0.048099698949688165
2023-10-31,-0.01930788808077637,-0.016344355734085585
2023-11-30,0.07317798536931369,0.07626954835709161
2023-12-31,0.04218383832749848,0.06077967313670262
2024-01-31,0.008951286602621521,-0.015654255990773153
2024-02-29,0.025413756897184836,0.024651267056416754
2024-03-31,0.023231186818230262,0.036096120279533794
2024-04-30,-0.03410472039448202,-0.03592546606892277
2024-05-31,0.0370261171668544,0.03834109185872088
2024-06-30,0.024709971628274773,0.005338776332252475
2024-07-31,0.016942154015013245,0.04977311629472421
2024-08-31,0.01986506679792428,0.021137787654121644
2024-09-30,0.01793413815938938,0.022142792829937398
2024-10-31,-0.015429054477768968,-0.015264240580763144
2024-11-30,0.04022402417040837,0.0316093151378386
2024-12-31,-0.021209701412039303,-0.042007515860694414
2025-01-31,0.0181778068289125,0.0315609576026733
