Portfolio,CAGR,Volatility,Sharpe,Max Drawdown
60/40,0.09966323006076694,0.10118754501911353,0.6884565689147623,-0.20046031373147372
Custom Equal,0.09560853577870287,0.11527213357517012,0.5691621534524551,-0.21549366419882005
